text,label_str,label,text_length,word_count,text_original,changed,label_id
i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,anger,0,213,40,i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,False,0
i feel like i smell pretty after i use it,joy,2,41,10,i feel like i smell pretty after i use it,False,2
i got a feeling that they were trying to create a nostalgic atmosphere but it didnt work for me,love,3,95,19,i got a feeling that they were trying to create a nostalgic atmosphere but it didnt work for me,False,3
i feel like theres nothing in my life empty,sadness,4,43,9,i feel like theres nothing in my life empty,False,4
i always feel glamorous wearing a flowing gucci number no matter what kind of day,joy,2,81,15,i always feel glamorous wearing a flowing gucci number no matter what kind of day,False,2
id feel regretful since most of my friends didnt go aboard when they graduated or had a free summer and i actually did more travelling than most of them with my regular trips to china to visit family,sadness,4,199,38,id feel regretful since most of my friends didnt go aboard when they graduated or had a free summer and i actually did more travelling than most of them with my regular trips to china to visit family,False,4
i feel really bouncy for absolutely no reason and my head hurts a bit from trying to remember all the books im going to simply have to read now,joy,2,143,29,i feel really bouncy for absolutely no reason and my head hurts a bit from trying to remember all the books im going to simply have to read now,False,2
i am still feeling joyful at rest at peace and that nothing nothing nothing can stop me,joy,2,87,17,i am still feeling joyful at rest at peace and that nothing nothing nothing can stop me,False,2
i feel less agitated but a bit more sad sometimes,anger,0,49,10,i feel less agitated but a bit more sad sometimes,False,0
i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning,joy,2,278,56,i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning,False,2
i still feel a little weird and uncertain,fear,1,41,8,i still feel a little weird and uncertain,False,1
i only feel frightened and these are such small things,fear,1,54,10,i only feel frightened and these are such small things,False,1
i feel like a snob but i ve been a bit skeptical of it from the start because i have no idea who kenny werner is and neither does thomas a musician who gave me the book,fear,1,168,37,i feel like a snob but i ve been a bit skeptical of it from the start because i have no idea who kenny werner is and neither does thomas a musician who gave me the book,False,1
i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects,fear,1,224,42,i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects,False,1
im feeling pretty depressed and i think its spiraling,sadness,4,53,9,im feeling pretty depressed and i think its spiraling,False,4
i feel shitty about myself or my work on the heels of feeling great for someone else s accomplishments,sadness,4,102,19,i feel shitty about myself or my work on the heels of feeling great for someone else s accomplishments,False,4
i feel lonely a class post count link href http sporkgasm,sadness,4,57,11,i feel lonely a class post count link href http sporkgasm,False,4
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger,0,129,24,i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,False,0
i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality,joy,2,216,34,i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality,False,2
i suffer from very low confidence and im always looking for ways to come across more confident and feel more outgoing in myself,joy,2,127,23,i suffer from very low confidence and im always looking for ways to come across more confident and feel more outgoing in myself,False,2
i am feeling a bit overwhelmed tired anxious etc,surprise,5,48,9,i am feeling a bit overwhelmed tired anxious etc,False,5
i feel so amazingly blessed that my children have been able to take part in it,joy,2,78,16,i feel so amazingly blessed that my children have been able to take part in it,False,2
i feel very suspicious of all of them,fear,1,37,8,i feel very suspicious of all of them,False,1
i even picked out beautiful pearly looking snaps and is soft and comfy feels like caring for myself,love,3,99,18,i even picked out beautiful pearly looking snaps and is soft and comfy feels like caring for myself,False,3
i feel privileged to be amongst this new culture and learn new things,joy,2,69,13,i feel privileged to be amongst this new culture and learn new things,False,2
i feel like i have nailed the marriage and the house parts of my life and i am happy and content as i can possibly be in those aspects,joy,2,134,29,i feel like i have nailed the marriage and the house parts of my life and i am happy and content as i can possibly be in those aspects,False,2
i can t help but to feel amused after reading this article,joy,2,58,12,i can t help but to feel amused after reading this article,False,2
i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful,joy,2,136,26,i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful,False,2
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger,0,131,30,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,False,0
i used to walk over to my neighbors and hang out with him while he worked in his shop but i kinda got the feeling i was unwelcome,sadness,4,129,28,i used to walk over to my neighbors and hang out with him while he worked in his shop but i kinda got the feeling i was unwelcome,False,4
i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,joy,2,118,28,i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,False,2
i guess i sort of believe him but deep down i just feel unsure about the unknown,fear,1,80,17,i guess i sort of believe him but deep down i just feel unsure about the unknown,False,1
i fully understand the feeling of being beaten down wounded and bereft,sadness,4,70,12,i fully understand the feeling of being beaten down wounded and bereft,False,4
i do feel slightly ungrateful about it but i can only spend so much time with them before going mad,sadness,4,99,20,i do feel slightly ungrateful about it but i can only spend so much time with them before going mad,False,4
i experience genuinely great i feel delighted,joy,2,45,7,i experience genuinely great i feel delighted,False,2
i do feel weird why seldom people eat at there,fear,1,46,10,i do feel weird why seldom people eat at there,False,1
i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,sadness,4,88,17,i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,False,4
im feeling doodly playful artistic hungry puzzled trendy stellar and wonderful,joy,2,78,11,im feeling doodly playful artistic hungry puzzled trendy stellar and wonderful,False,2
i love how a whiff of a certain scent can take you back to a certain time or place remind you of a certain person and make you feel content or nostalgic,joy,2,152,32,i love how a whiff of a certain scent can take you back to a certain time or place remind you of a certain person and make you feel content or nostalgic,False,2
i feel loving me no one but i will be fighting for anyone,love,3,57,13,i feel loving me no one but i will be fighting for anyone,False,3
ive been feeling cranky lately,anger,0,30,5,ive been feeling cranky lately,False,0
i mention that im feeling cranky,anger,0,32,6,i mention that im feeling cranky,False,0
i could feel myself hit this strange foggy wall,surprise,5,47,9,i could feel myself hit this strange foggy wall,False,5
i would feel boring rejected or just downright unlikeable,sadness,4,57,9,i would feel boring rejected or just downright unlikeable,False,4
i lost a very dear friend in the maschke family who now wants nothing to do with me because they feel that i am unsavory or mean or cruel,sadness,4,137,29,i lost a very dear friend in the maschke family who now wants nothing to do with me because they feel that i am unsavory or mean or cruel,False,4
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,4,102,19,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,False,4
i do eat rawly goodness i feel radiant,joy,2,38,8,i do eat rawly goodness i feel radiant,False,2
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,2,98,19,i get into what it actually does i feel like everyone should buy it just because it smells amazing,False,2
i feel too rushed,anger,0,17,4,i feel too rushed,False,0
i a bad person for feeling burdened by our relationship,sadness,4,55,10,i a bad person for feeling burdened by our relationship,False,4
i feel like we all have somehow convinced ourselves that these really pointless events somehow mean everything to us,joy,2,116,19,i feel like we all have somehow convinced ourselves that these really pointless events somehow mean everything to us,False,2
i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can,joy,2,105,24,i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can,False,2
i feel like i totally fucked up,anger,0,31,7,i feel like i totally fucked up,False,0
i really feel like i m wading in dangerous waters here but i think dialog is really important too,anger,0,97,19,i really feel like i m wading in dangerous waters here but i think dialog is really important too,False,0
i didn t think it was possible to make a cover that expressed the personality of the novel since it s a strange cross genre story but the photo that was found nails the heart of the book so closely that i feel a bit stunned,surprise,5,223,46,i didn t think it was possible to make a cover that expressed the personality of the novel since it s a strange cross genre story but the photo that was found nails the heart of the book so closely that i feel a bit stunned,False,5
i typed up all my blood pressures for the month but i have a feeling hes not going to be too pleased with the lack of missing information,joy,2,137,28,i typed up all my blood pressures for the month but i have a feeling hes not going to be too pleased with the lack of missing information,False,2
i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,anger,0,114,23,i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,False,0
i feel so blessed that i am able to leave there,joy,2,47,11,i feel so blessed that i am able to leave there,False,2
i feel that chris is not too impressed with my stuff so naturally i hate myself and want on the next plane back to seattle as soon before the showcase as possible,surprise,5,162,32,i feel that chris is not too impressed with my stuff so naturally i hate myself and want on the next plane back to seattle as soon before the showcase as possible,False,5
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,1,136,26,i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,False,1
im moving forward and feeling optimistic for the first time in months,joy,2,69,12,im moving forward and feeling optimistic for the first time in months,False,2
i still have no idea whats up with me but now i feel determined to enjoy the day no matter what,joy,2,95,21,i still have no idea whats up with me but now i feel determined to enjoy the day no matter what,False,2
i got a good feeling from the school and i have a lovely class,love,3,62,14,i got a good feeling from the school and i have a lovely class,False,3
i feel gloomy and i desperately seek affection,sadness,4,46,8,i feel gloomy and i desperately seek affection,False,4
i feel dumb now going through all those,sadness,4,39,8,i feel dumb now going through all those,False,4
i feel sexually threatened because some guys can be assholes fuck you of course im going to be a bitch and do whatever i need to do to get my ass out of the situation,fear,1,166,35,i feel sexually threatened because some guys can be assholes fuck you of course im going to be a bitch and do whatever i need to do to get my ass out of the situation,False,1
ive told friends and fellow fans i feel like weve all been partaking in a delicious feast these last seasons and now were about to get that last really fine meal,joy,2,161,31,ive told friends and fellow fans i feel like weve all been partaking in a delicious feast these last seasons and now were about to get that last really fine meal,False,2
i feel annoyed by that girl,anger,0,27,6,i feel annoyed by that girl,False,0
i choose not to feel guilty unworthy or doubted,sadness,4,47,9,i choose not to feel guilty unworthy or doubted,False,4
i have this nagging feeling that i fucked everything up on the first try,anger,0,72,14,i have this nagging feeling that i fucked everything up on the first try,False,0
ive gotten so used to them to the extent that im actually feeling weird without them,surprise,5,84,16,ive gotten so used to them to the extent that im actually feeling weird without them,False,5
i feel like they are a second family and they all are so supportive and love little miss rylin,love,3,94,19,i feel like they are a second family and they all are so supportive and love little miss rylin,False,3
i have a job where i am needed and where i am missed when i go away and its not just the things that i do that are missed but me as a person and that feels amazing,joy,2,163,38,i have a job where i am needed and where i am missed when i go away and its not just the things that i do that are missed but me as a person and that feels amazing,False,2
i just wanted to apologize to you because i feel like a heartless bitch,anger,0,71,14,i just wanted to apologize to you because i feel like a heartless bitch,False,0
i feel as though i gush on an on about the gorgeous colors of the produce we receive through our farm share and i have to do it again this week,joy,2,143,31,i feel as though i gush on an on about the gorgeous colors of the produce we receive through our farm share and i have to do it again this week,False,2
i didnt use to feel embarrassed walking by people in it at the pool,sadness,4,67,14,i didnt use to feel embarrassed walking by people in it at the pool,False,4
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger,0,117,25,i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,False,0
im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,fear,1,111,19,im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,False,1
i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one,anger,0,140,28,i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one,False,0
i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear,1,75,15,i thinks this chiefs ccw should be yanked by the state as i feel threatened,False,1
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,surprise,5,102,18,i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,False,5
i feel is defective,sadness,4,19,4,i feel is defective,False,4
i was really surprised by how much i like this moisturizer it smells really good and feels amazing on the skin,joy,2,110,21,i was really surprised by how much i like this moisturizer it smells really good and feels amazing on the skin,False,2
i feel so ugly lately,sadness,4,21,5,i feel so ugly lately,False,4
im thinking about death at the moment and feeling really sad because my lovely uncle shaun has died,sadness,4,99,18,im thinking about death at the moment and feeling really sad because my lovely uncle shaun has died,False,4
i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,joy,2,112,25,i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,False,2
i feel irritated a lot,anger,0,22,5,i feel irritated a lot,False,0
i went through quite a few years of feeling too scared to create,fear,1,64,13,i went through quite a few years of feeling too scared to create,False,1
i feel like damaged goods no one will want me now,sadness,4,49,11,i feel like damaged goods no one will want me now,False,4
im not going to lie it feels really weird to be writing this right now,surprise,5,70,15,im not going to lie it feels really weird to be writing this right now,False,5
i feel like if there are pickles in the fridge everything will be ok,joy,2,68,14,i feel like if there are pickles in the fridge everything will be ok,False,2
i could feel julia hesitate as she wasn t yet convinced she should talk to this woman,joy,2,85,17,i could feel julia hesitate as she wasn t yet convinced she should talk to this woman,False,2
im feeling a little apprehensive about this party,fear,1,49,8,im feeling a little apprehensive about this party,False,1
i fully enjoy music when i feel afraid using headphones,fear,1,55,10,i fully enjoy music when i feel afraid using headphones,False,1
i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,anger,0,111,22,i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,False,0
i feel fine ep w ps odeon spain us,joy,2,34,9,i feel fine ep w ps odeon spain us,False,2
i feel idiotic but now my friends and family are going to make fun of me for it and now that i thought i had a good reason to be proud this shit happens,sadness,4,152,34,i feel idiotic but now my friends and family are going to make fun of me for it and now that i thought i had a good reason to be proud this shit happens,False,4
i didn t mean to get angry with you bommie i just can t control my feelings hellip i just hated myself why i am like this the dara who can t get over with that b,sadness,4,161,37,i didn t mean to get angry with you bommie i just can t control my feelings hellip i just hated myself why i am like this the dara who can t get over with that b,False,4
i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,joy,2,97,19,i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,False,2
i feel a little vain i guess but last time i did this i seriously composed a a href http inthewarmholdofyourlovingmind,sadness,4,118,21,i feel a little vain i guess but last time i did this i seriously composed a a href http inthewarmholdofyourlovingmind,False,4
i feel vain,sadness,4,11,3,i feel vain,False,4
i think im making up for feeling like i missed autumn and its great colours,sadness,4,75,15,i think im making up for feeling like i missed autumn and its great colours,False,4
i thought this is precisely why i m making the show because i feel very uncertain in the world,fear,1,94,19,i thought this is precisely why i m making the show because i feel very uncertain in the world,False,1
i is starting to feel a bit insulted by this stranger,anger,0,53,11,i is starting to feel a bit insulted by this stranger,False,0
i feel that giraffes are elegant majestic and appealing,joy,2,55,9,i feel that giraffes are elegant majestic and appealing,False,2
i feel generous sometimes and feed a little of those savings to the birds,love,3,73,14,i feel generous sometimes and feed a little of those savings to the birds,False,3
i can remember i feel especially impressed to start fresh new and remove clutter,surprise,5,80,14,i can remember i feel especially impressed to start fresh new and remove clutter,False,5
i feel like i m being tortured for government secrets i don t know anything,anger,0,75,15,i feel like i m being tortured for government secrets i don t know anything,False,0
i feel like i m being mentally and emotionally assaulted with something and i just wanted to write that down somewhere,sadness,4,118,21,i feel like i m being mentally and emotionally assaulted with something and i just wanted to write that down somewhere,False,4
i lose it and make myself heard i feel like an idiot because i suddenly realize my point was either unimportant or unnecessary,sadness,4,126,23,i lose it and make myself heard i feel like an idiot because i suddenly realize my point was either unimportant or unnecessary,False,4
i no longer feel terrified,fear,1,26,5,i no longer feel terrified,False,1
i can feel the tortured emo poetry coming on already,anger,0,52,10,i can feel the tortured emo poetry coming on already,False,0
i blinded feelings i meant liked stupid i,love,3,41,8,i blinded feelings i meant liked stupid i,False,3
i feel distinctly called in clermont to focus on these little ones that seem naughty,love,3,84,15,i feel distinctly called in clermont to focus on these little ones that seem naughty,False,3
i feel that i worry too much and much on petty things like,anger,0,58,13,i feel that i worry too much and much on petty things like,False,0
i should feel blessed to have but what about me cause i thought i mattered in this situation,joy,2,92,18,i should feel blessed to have but what about me cause i thought i mattered in this situation,False,2
when i hooked a girl in kitwe she was very beautiful for my standards,joy,2,69,14,when i hooked a girl in kitwe she was very beautiful for my standards,False,2
i also feel lethargic and again,sadness,4,31,6,i also feel lethargic and again,False,4
i just tell people i feel like one sweet southern mess right now,joy,2,64,13,i just tell people i feel like one sweet southern mess right now,False,2
i was feeling particulary generous today so im giving away packages instead of,joy,2,78,13,i was feeling particulary generous today so im giving away packages instead of,False,2
i am feeling impatient restless excited,anger,0,39,6,i am feeling impatient restless excited,False,0
my girlfriend who had spent months abroad broke off our relationship by letter,sadness,4,78,13,my girlfriend who had spent months abroad broke off our relationship by letter,False,4
i watched his face contort in sadness i began to feel regretful of my actions,sadness,4,77,15,i watched his face contort in sadness i began to feel regretful of my actions,False,4
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,1,181,36,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,False,1
i feel infuriated every time that the christmas season draws near,anger,0,65,11,i feel infuriated every time that the christmas season draws near,False,0
i feel its been very successful in doing that,joy,2,45,9,i feel its been very successful in doing that,False,2
i was feeling a little annoyed at some people,anger,0,45,9,i was feeling a little annoyed at some people,False,0
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,0,163,31,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,False,0
i watch movies set in the s and s i feel pangs of melancholy,sadness,4,60,14,i watch movies set in the s and s i feel pangs of melancholy,False,4
i feel as though my own snowglobe is being shaken and im still flying through the air,fear,1,85,17,i feel as though my own snowglobe is being shaken and im still flying through the air,False,1
i have also added links to other blogs which i feel are really wonderful,joy,2,72,14,i have also added links to other blogs which i feel are really wonderful,False,2
i had a go at it it said i was feeling paranoid lol,fear,1,51,13,i had a go at it it said i was feeling paranoid lol,False,1
im feeling generous for my fellow bookworms and kiddies even if youre just a kid at heart,joy,2,89,17,im feeling generous for my fellow bookworms and kiddies even if youre just a kid at heart,False,2
i was dreading it and feeling irritable,anger,0,39,7,i was dreading it and feeling irritable,False,0
i feeling more determined than ever to really nail this race,joy,2,60,11,i feeling more determined than ever to really nail this race,False,2
i don t feel as smart or impressive,joy,2,35,8,i don t feel as smart or impressive,False,2
i have to do what i have to do i feel like a little kid who is being punished by her mother for something she did wrong,sadness,4,119,27,i have to do what i have to do i feel like a little kid who is being punished by her mother for something she did wrong,False,4
i love how i feel i feel satisfied without feeling bloated or lethargic,joy,2,71,13,i love how i feel i feel satisfied without feeling bloated or lethargic,False,2
i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,fear,1,218,40,i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,False,1
im feeling very angry kind of sad tired and bored today,anger,0,55,11,im feeling very angry kind of sad tired and bored today,False,0
i think that we must continue to seek each other s good even as we feel offended and to always look for ways to go lower and walk in the humility that jesus walked in,anger,0,166,35,i think that we must continue to seek each other s good even as we feel offended and to always look for ways to go lower and walk in the humility that jesus walked in,False,0
i feel super bad because i miss the blogging world miss reading everyones blogs miss documenti,joy,2,94,16,i feel super bad because i miss the blogging world miss reading everyones blogs miss documenti,False,2
i stopped feeling intimidated when looking at a wod i guess that means i am learning how to find a right balance where to scale down and where to push harder,fear,1,157,31,i stopped feeling intimidated when looking at a wod i guess that means i am learning how to find a right balance where to scale down and where to push harder,False,1
i feel like i am regaining the energy i need for school and am excited for the possibilities,joy,2,92,18,i feel like i am regaining the energy i need for school and am excited for the possibilities,False,2
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,2,144,29,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,False,2
i feel remorseful for the crimes that were committed intentionally or unintentionally and whether or not i had known about it or not known about it,sadness,4,147,26,i feel remorseful for the crimes that were committed intentionally or unintentionally and whether or not i had known about it or not known about it,False,4
i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,fear,1,138,26,i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,False,1
i feel a little glad that others are having a hard time,joy,2,55,12,i feel a little glad that others are having a hard time,False,2
i always feel this way in these moods but it s still unpleasant,sadness,4,63,13,i always feel this way in these moods but it s still unpleasant,False,4
i first got my eye infection i have to back up and if possible make you feel less sympathetic for me than you probably already do,love,3,129,26,i first got my eye infection i have to back up and if possible make you feel less sympathetic for me than you probably already do,False,3
i feel so weird and scattered with all wonders about a million different things,surprise,5,79,14,i feel so weird and scattered with all wonders about a million different things,False,5
im gonna make you feel just as worthless as you did a few years ago im going to make sure you remember how bad people spoke to you or treated you especially when you needed them,sadness,4,177,36,im gonna make you feel just as worthless as you did a few years ago im going to make sure you remember how bad people spoke to you or treated you especially when you needed them,False,4
i know i am not alone when i say i often feel rushed,anger,0,52,13,i know i am not alone when i say i often feel rushed,False,0
i was feeling depressed before i went for this jog,sadness,4,50,10,i was feeling depressed before i went for this jog,False,4
i feel more useful to g this way,joy,2,32,8,i feel more useful to g this way,False,2
im not yet feeling terrified of failing i honestly feel like im overconfident right now because i believe that ive done my best,fear,1,127,23,im not yet feeling terrified of failing i honestly feel like im overconfident right now because i believe that ive done my best,False,1
i was thinking about going out to dinner but im feeling like i might not be bothered too,anger,0,88,18,i was thinking about going out to dinner but im feeling like i might not be bothered too,False,0
i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness,4,184,37,i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,False,4
i could feel the strongest connection and still can to my divine self,joy,2,69,13,i could feel the strongest connection and still can to my divine self,False,2
i sent my boyfriend bobby when i was feeling particularly melodramatically helpless i miss having a home in the states and i miss my sweatshirt and i miss taco bell,fear,1,164,30,i sent my boyfriend bobby when i was feeling particularly melodramatically helpless i miss having a home in the states and i miss my sweatshirt and i miss taco bell,False,1
i am working on one thing that i feel unsure of completing,fear,1,58,12,i am working on one thing that i feel unsure of completing,False,1
i actually feel solidarity with the americans who went on to cry for blood in iraq tortured prisoners and the stripping of the bill of rights,fear,1,141,26,i actually feel solidarity with the americans who went on to cry for blood in iraq tortured prisoners and the stripping of the bill of rights,False,1
i need to know that the pain i feel is not in vain and that there is a better and brighter day in my future,sadness,4,107,25,i need to know that the pain i feel is not in vain and that there is a better and brighter day in my future,False,4
i feel so tortured by it,fear,1,24,6,i feel so tortured by it,False,1
i am feeling quite blessed and enjoying my time here,love,3,52,10,i am feeling quite blessed and enjoying my time here,False,3
i feel people around me do not understand it they have no acceptance that i might need to grieve and suffer not only from the loss of my mother but the grief of never having a loving relationship expressed in ways i would want,love,3,226,44,i feel people around me do not understand it they have no acceptance that i might need to grieve and suffer not only from the loss of my mother but the grief of never having a loving relationship expressed in ways i would want,False,3
